id,alcoholic,drinkid,edited,favorite,issuggested,glass_id,information,instructions,name,notes
23,1,824,{null},{null},{null},2,,"Shake with ice and strain into collins glass. Add several ice cubes, fill with club soda and stir. Decorate with slices of lemon and orange, and a cherry. Serve with a straw.",Tequila Collins,{null}
24,1,121,{null},{null},{null},18,,Shake all ingredients (except the cherry) with ice and strain into a cocktail glass. Add the cherry on top and serve.,Bijou Cocktail,{null}
25,1,256,{null},{null},{null},5,,"Mix all ingredients a day ahead and place in freezer. When ready to serve, take out of freezer and scoop and serve with ginger ale, if desired.",Cranberry Vodka Slush,{null}
26,1,549,{null},{null},{null},11,A mexican beer and sea salt are highly recommended.,Mix ingredients in a tall high glass with lots of ice. Add beer at the end. Mix and enjoy.,Michelada,{null}
27,1,209,{null},{null},{null},18,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Cafe de Paris,{null}
28,1,568,{null},{null},{null},14,,Add together with ice and stir.,Minerstown Sling,{null}
29,1,178,{null},{null},{null},2,,Pour the brandy and club soda into a collins glass almost filled with ice cubes. Stir well.,Brandy & Soda,{null}
30,1,356,{null},{null},{null},18,,Shake with ice and strain into a cocktail glass.,Gloom Chaser,{null}
31,1,108,{null},{null},{null},6,,Pour each ingredient into the snifter and serve.,Beautiful,{null}
32,1,726,{null},{null},{null},14,,"Pour the Cognac, Cointreau and lemon juice over ice in a highball and top off with soda.  Garnish with lemon.",San Francisco Sidecar,{null}
33,1,357,{null},{null},{null},19,,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Godchild,{null}
34,1,891,{null},{null},{null},18,Also known as a Chelsea Sidecar,"In a shaker half-filler with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",White Lady,{null}
35,1,484,{null},{null},{null},14,,"First the scotch goes in, then the lemon juice, then the crushed ice, then topped off with the vodka.",King of Poland,{null}
36,1,275,{null},{null},{null},18,,"Pour ingredients into glass, stir, and drink.",Dead Bastard,{null}
37,1,268,{null},{null},{null},14,,"Pour lime juice into a highball glass over ice cubes. Add rum, fill with cola, stir, and serve.",Cuba Libre,{null}
38,1,15,{null},{null},{null},18,,"Pour into glass, stir and enjoy.",Abrupt Realization,{null}
39,1,133,{null},{null},{null},23,,Pour into a wine glass,Black Tie,{null}
40,1,197,{null},{null},{null},15,,"Shake and strain into an old-fashioned glass three-quarters filled with broken ice, or serve straight-up.",Brown Derby,{null}
41,1,616,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Orgasm,{null}
42,1,703,{null},{null},{null},14,,Stir in a highball glass and fill with club soda. Garnish with a lemon twist.,Rum Sling,{null}
43,1,397,{null},{null},{null},14,,"Mix all ingredients into glass, top with ice.",Hairy Navel,{null}
44,1,415,{null},{null},{null},18,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Hop Toad,{null}
45,1,92,{null},{null},{null},2,,"Measure a collins glass full of ice cubes into a cocktail shaker. Add ingredients, shake well, and pour back into collins glass.",Bahama Blue,{null}
46,1,432,{null},{null},{null},12,,"Layer: creme de menthe, irish cream and brandy",Irish Flag,{null}
47,1,123,{null},{null},{null},9,,Shake brandy and cranberry juice with ice in a mixer; pour into hurricane glass; add 7-up; garnish with cranberries and serve.,Black Butterfly,{null}
48,1,124,{null},{null},{null},15,,Pour Tequila and blackberry brandy together. Add club soda. Drink like a shooter.,Black Cactus,{null}
49,1,823,{null},{null},{null},18,,Shake all ingredients (except lemon slice) with ice and strain into a cocktail glass. Add the slice of lemon and serve.,Tequila Cocktail,{null}
50,1,781,{null},{null},{null},18,,"Shake, strain into a cordial or liqueur glass, and serve.",Soft Love,{null}
51,1,842,{null},{null},{null},18,,Fill glass halfway with Tang. Add Vodka until you can begin to taste the Vodka. Mix drink to taste.,Tiki Torch,{null}
52,1,896,{null},{null},{null},15,,Pour over lots of ice.,White Spider,{null}
53,1,179,{null},{null},{null},18,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Brandy Alexander,{null}
54,1,364,{null},{null},{null},18,,"Shake and strain into a cocktail glass. Garnish with a half-slice of orange and a cherry, and serve.",Golden Sunset,{null}
55,1,52,{null},{null},{null},12,,Chill with ice. Strain into shot glass.,American Dream,{null}
56,1,497,{null},{null},{null},15,,"Shake with a glassful of broken ice, and pour unstrained into an old-fashioned glass. Garnish with a wedge of lime, and serve.",Last Chance,{null}
57,1,450,{null},{null},{null},2,,"Shake rum, pineapple juice and sugar in a cocktail shaker with ice. Strain into a collins glass filled with ice cubes. Fill with carbonated water.",Jamaican Collins,{null}
58,1,439,{null},{null},{null},18,,Pour jack daniels into large glass filled with ice. Pour Coca-Cola into glass. Stir lightly.,Jack & Coke,{null}
59,1,551,{null},{null},{null},14,,"Pour the Midori melon liqueur, rum, blue curacao and lemon juice into a cocktail shaker half-filled with ice cubes. Shake well. Strain into a highball glass almost filled with ice cubes. Top with pineapple juice, to taste, and serve.",Midori Ecstacy,{null}
60,1,501,{null},{null},{null},14,,"Over ice, add vodka, watermelon schnapps, blue maui,and o.j. Do not stir. Garnish with cherry and slice of orange.",Leap Frog,{null}
61,1,926,{null},{null},{null},11,"Named for the three Irish ingredients of Guinness, Bailey's and Jameson. Don't order in Ireland.",Build over ice drink with a straw.,Irish Car Bomb,{null}
62,1,348,{null},{null},{null},14,,Pour juice of lime and gin into a highball glass over ice cubes. Fill with carbonated water and stir. Add the wedge of lime and serve.,Gin Rickey,{null}
63,1,556,{null},{null},{null},2,,Build all ingredients over ice in a tall glass. Float fresh cream last.,Midori Splice,{null}
64,1,76,{null},{null},{null},6,,Float brandy on top of Herbal Liqueur in a cordial glass without mixing and serve.,B & B,{null}
65,1,521,{null},{null},{null},18,,Blend briefly with three-quarters of a glassful of crushed ice. Serve in a double-cocktail glass garnished with a slice of orange speared with a cherry.,Mandarin,{null}
66,1,517,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Maiden's Prayer,{null}
67,1,343,{null},{null},{null},15,,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",Gin Daisy,{null}
68,1,702,{null},{null},{null},14,,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Rum Screwdriver,{null}
69,1,359,{null},{null},{null},15,,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Godmother,{null}
70,1,727,{null},{null},{null},18,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sand-Martin Cocktail,{null}
71,1,33,{null},{null},{null},14,,,Alabama Slammer,{null}
72,1,25,{null},{null},{null},18,,,Admiral Cocktail,{null}
73,1,421,{null},{null},{null},9,,"Shake and strain into an ice-filled pina colada glass. Add champagne, straws, and serve.",Hotel California,{null}
74,1,671,{null},{null},{null},18,,Shake with cracked ice and strain into a chilled cocktail glass.,Racquet Club,{null}
75,1,290,{null},{null},{null},7,,"Mix the alcohols in a Beer mug, and add the coke to fill. Mix gently, serve cold.",Duncan MacLeod,{null}
76,1,691,{null},{null},{null},18,,Fill glass with ice. Add Razzamatazz and Crown Royal. Fill with Cranberry Juice.,Rock Lobster,{null}
77,1,834,{null},{null},{null},2,,Pour tequila into a collins glass filled with ice cubes. Fill with orange juice and stir well. Top with blackberry brandy and stir lightly. Add the cherry on top and serve.,Tequila Sunset,{null}
78,1,30,{null},{null},{null},9,,Hurricane glass filled with ice add ingredients shake cherry and orange garnish,Agent Orange,{null}
79,1,920,{null},{null},{null},8,"Original recipe from McGuire's Restaurant in Pensacola, FL. 2 drink maximum and they stop selling them at midnight!",,Irish Wake,{null}
80,1,384,{null},{null},{null},18,,"Pour all ingredients into a mixing glass half-filled with ice cubes. Stir well, strain into a cocktail glass, and serve.",Green Mirage,{null}
81,1,396,{null},{null},{null},14,,"Shake ingredients together in a cocktail shaker half-filled with ice cubes. Strain into a highball glass filled with ice cubes, and serve.",Hairless Chiahuahua,{null}
82,1,297,{null},{null},{null},18,,"Stir ingredients together in a chilled cocktail glass, and serve.",Emerald Cocktail,{null}
83,1,609,{null},{null},{null},15,,"Pour Canadian whisky and amaretto into an old-fashioned glass almost filled with ice cubes. Stir, and serve.",Old Groaner,{null}
84,1,77,{null},{null},{null},12,,"This drink is best when shaken and strained, but the proper way is to layer the drink. Kahlua is poured first, then Bailey's is next, and Frangelico is layered on top.",B-51,{null}
85,1,165,{null},{null},{null},18,,Shake ingredients in a cocktail shaker with ice. Strain into a chilled cocktail glass.,Booster,{null}
86,1,573,{null},{null},{null},18,,"Wet the rim of a cocktail glass and press down in sugar to get it on the rim. Put mint leaves and lime juice (per drink) in a cocktail shaker. Mash (\muddle\"") the mint with spoon. Add light rum and ice. Shake",Mojito Martini,{null}
87,1,360,{null},{null},{null},12,,Put Goldschlager in a shot glass and add a couple of dashes of tabasco.,Gold Furnace,{null}
88,1,847,{null},{null},{null},14,,,Tokyo Iced Tea,{null}
89,1,629,{null},{null},{null},18,,"Stir well over ice cubes in a mixing glass. Strain into a chilled cocktail glass over a single ice cube, and serve.",Parisienne,{null}
90,1,416,{null},{null},{null},14,,"Place the lemon peel spiral in a highball glass and drape one end of it over the rim of the glass. Fill the glass with ice cubes. Pour the brandy, Ginger Ale, and bitters into the glass. Stir well.",Horse's Neck,{null}
91,1,807,{null},{null},{null},2,,Put ice cubes in the Collins glass. Then poor the white rum. Fill with the fruit punch and the Ginger Ale.,Summer Sunset,{null}
92,1,434,{null},{null},{null},19,,"Pour a near full glass of champagne, add Midori and orange juice.",Irish Lady,{null}
93,1,804,{null},{null},{null},16,,Layer Blue Curacao and Bailey's in a shot glass over crushed ice. Mix to drink.,Summer Fling,{null}
94,1,28,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",After Supper Cocktail,{null}
95,1,771,{null},{null},{null},12,,"Pour ingredients into a tall shot glass, and serve.",Skip Morrison,{null}
96,1,19,{null},{null},{null},21,,,Absinthe Frappe,{null}
97,1,829,{null},{null},{null},12,,Pour tequila into shot glass. Next pour in Mountain Dew. Hold your hand over the top of the glass and slam it down. The shot will change color. Take the shot.,Tequila Slammer,{null}
98,1,913,{null},{null},{null},19,,,Poinsettia,{null}
99,1,371,{null},{null},{null},14,,"Shake vodka, rum, and liqueur and pour over ice in a highball glass. Fill with lemonade, add the cherry on top, and serve.",Green Demon,{null}
100,1,925,{null},{null},{null},18,,Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.,Blue Alexander,{null}
101,1,7,{null},{null},{null},18,,"Add ingredients to a cocktail shaker half-filled with ice cubes. Shake and strain into a cocktail glass. Fill with pineapple juice, and serve.",57 Chevy,{null}
102,1,817,{null},{null},{null},18,,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,Sunshine Cocktail,{null}
103,1,321,{null},{null},{null},18,,"This drink originated in Philadelphia, adapted by Michael S. Berlinger, but its popularity faded as the bar that created it changed ownership.  This drink can be considered a martini, but make sure to hold the olive.  It is a rather refreshing, sweet cocktail that is best enjoyed in the summer time.Get a martini shaker.  Add a few ice cubes, then add all ingredients.  Shake for ten seconds and serve in a martini glass or cocktail glass with a lemon twist.",Frank Sinatra,{null}
104,1,238,{null},{null},{null},18,,"Pour the vermouth, bourbon, blackberry brandy, Cointreau and lemon juice into a cocktail shaker half-filled with ice cubes. Shake and strain into a cocktail glass, garnish with a twist of lemon, and serve.",Chelsea Cocktail,{null}
105,1,606,{null},{null},{null},15,"Invented in Kentucky in the 1880s and made popular when bourbon distiller James Pepper, brought it to the Waldorf-Astoria Hotel bar in New York City.","Mix sugar, water and angostura bitters in an old-fashioned glass. Drop in a cherry and an orange wedge. Muddle into a paste using a muddler or the back end of a spoon. Pour in bourbon, fill with ice cubes, and stir.",Old-Fashioned,{null}
106,1,50,{null},{null},{null},2,,Stir and serve in a collins glass over ice. Garnish with the slice of orange.,Ambassador,{null}
107,1,62,{null},{null},{null},2,,"Blend schnapps, cream of coconut, half-and-half, and 2 cups of crushed ice in an electric blender at a high speed. Pour contents into a collins glass. Decorate with an apple slice and a cherry. Serve with a straw.",Apple Colada,{null}
108,1,770,{null},{null},{null},2,,"Pour grenadine, gin, and sweet and sour into a collins glass over ice cubes and stir well. Fill with carbonated water and top with cherry brandy. Add the cherry on top and serve.",Singapore Sling,{null}
109,1,272,{null},{null},{null},14,,"You can substitute any dark or spiced rum . Pour rum over ice, add ginger ale, stir.",Dark N Stormy,{null}
110,1,851,{null},{null},{null},18,,Add ingredients to a chilled martini glass. Shake well. Garnish with a black raspberry.,Tom Sweeney,{null}
111,1,162,{null},{null},{null},18,,"Shake well with ice and strain into a chilled cocktail glass. Garnish with flamed orange peel on the glass, and serve.",Blue Monday,{null}
112,1,164,{null},{null},{null},7,"Also known as ""A Beer and a Bump"" in many regions of the United States.","Fill shot glass with whiskey. Drop full shot glass into mug o' beer. Drink immediately, enjoy.",Boilermaker,{null}
113,1,45,{null},{null},{null},18,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",Amaretto Stinger,{null}
114,1,892,{null},{null},{null},18,,Crushed ice Build up.,White Out,{null}
115,1,494,{null},{null},{null},15,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Knickerbocker,{null}
116,1,512,{null},{null},{null},18,,"Shake the rums, triple sec and egg white together in a cocktail shaker half-filled with ice. Strain into a cocktail glass, and serve.",MacArthur Cocktail,{null}
117,1,65,{null},{null},{null},18,,,Apple Martini,{null}
118,1,211,{null},{null},{null},18,,Place all ingredients in martini shaker in order. Shake with ice. Pour into martini glass and serve.,Cafe Martini,{null}
119,1,908,{null},{null},{null},18,,"Invented by H.B. Stone. It is suggested not to add the dash of bitters unless Bombay Sapphire or another vapor-infused gin is used, or the drink may be too harsh. The glass has a pleasant aroma even when emptied.Shake and strain into a chilled cocktail glass. Twist a slice of lemon rind above the drink and rub along the rim, but do not drop into the drink.",Wiseguy,{null}
120,1,172,{null},{null},{null},18,,"Pour the whiskey, triple sec and lemon juice into a cocktail shaker half-filled with ice cubes. Shake well, strain into a chilled cocktail glass, and serve.",Bourbon Sidecar,{null}
121,1,743,{null},{null},{null},14,,Pour scotch and juice of lime into a highball glass over ice cubes. Fill with carbonated water and stir. Add the lime peel/rind and serve.,Scotch Rickey,{null}
122,1,274,{null},{null},{null},14,,"Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake well, and strain into a highball glass filled with ice cubes. Garnish with a slice of lime, and serve.",Daytona Daydream,{null}
123,1,873,{null},{null},{null},14,,"Mix Vodka, orange juice, then top with grenadine",Vodka Sunrise,{null}
124,1,515,{null},{null},{null},14,,Pour all ingredients (except Lime Wedge) into a highball glass over ice. Add the Lime Wedge and serve.,Madras,{null}
125,1,767,{null},{null},{null},18,Invention of this cocktail is credited to an unnamed American Army captain serving in Paris during World War I.,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Sidecar,{null}
126,1,646,{null},{null},{null},23,,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",Pink Gin,{null}
127,1,734,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Savannah,{null}
128,1,193,{null},{null},{null},18,,"Combine all ingredients together in a cocktail glass, stir, and serve.",Breath of God,{null}
129,1,473,{null},{null},{null},15,,"Pour all ingredients into a salt-rimmed old-fashioned glass. Stir. Garnish with a slice of lime, and serve.",Kabuki,{null}
130,1,31,{null},{null},{null},18,,Put all ingredients in a pitcher. The Cava can be very cold.,Valencia Cocktail,{null}
131,1,545,{null},{null},{null},18,,Stir maraschino and cherry brandy with ice and strain into a cocktail glass. Add the cherry and serve.,Merry Widow,{null}
132,1,548,{null},{null},{null},2,,,Michael Collins,{null}
133,1,552,{null},{null},{null},21,,"Fill a whiskey sour glass with cubed ice. Pour in Midori, then sour apple, and finish with cranberry juice producing a layered effect. Serve.",Midori Firecracker,{null}
134,1,122,{null},{null},{null},2,,"Pour both ingredients into a collins glass filled with ice cubes. Stir well, and serve.",Black Bison,{null}
135,1,773,{null},{null},{null},14,,Pour sloe gin and lemon juice over ice in glass. Fill with soda. Garnish with cucumber stick or lemon peel.,Sloe Gin Fizz,{null}
136,1,13,{null},{null},{null},12,,Layered in a shot glass.,ABC,{null}
137,1,391,{null},{null},{null},18,,"Created by \Nello Greco\"" an Italian barman",Gypsy Margarita,{null}
138,1,235,{null},{null},{null},9,,"Fill glass with ice, add all ingredients and shake.",Charter Breeze,{null}
139,1,846,{null},{null},{null},2,,Blend with ice and serve in a tall glass. Garnish with chocolate flakes and optionally chocolate topping drizzled down the inside of the glass.,Toblerone,{null}
140,1,837,{null},{null},{null},14,,,Texas Tea,{null}
141,1,2,{null},{null},{null},14,,Pour vodka and rum over ice. Add 7-up and stir. Add Amaretto (without stirring) and enjoy.,357 Magnum,{null}
142,1,774,{null},{null},{null},14,,"Pour Kahlua and Light Cream into a highball glass filled with ice and stir well. Fill with carbonated water, stir lightly, and serve.",Smith And Kearns,{null}
143,1,305,{null},{null},{null},18,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",Flaming Dr Pepper,{null}
144,1,487,{null},{null},{null},18,,"Shake ingredients together with crushed or shaved ice in a cocktail shaker. Strain into a chilled cocktail glass, and serve.",Kingston,{null}
145,1,563,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Million-Dollar Cocktail,{null}
146,1,634,{null},{null},{null},14,,,Peach Long Island Iced Tea,{null}
147,1,866,{null},{null},{null},18,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Vodka Gimlet,{null}
148,1,204,{null},{null},{null},18,,"In a shaker half-filled with ice cubes, combine the gin, vermouth, Benedictine, and bitters. Shake well. Strain into a cocktail glass and garnish with the cherry.",Cabaret,{null}
149,1,736,{null},{null},{null},18,,"Pour Ricard into a glass and swirl around to coat glass, discard any excess. Place the sugar, Peychaud bitters, and water int othe glass and muddle with the back of a teaspoon. Almost fill the glass with ice cubes. Pour the bourbon over the ice cubes.",Sazerac,{null}
150,1,632,{null},{null},{null},14,,Mix in highball glass. Stirr. Garnish with slice of orange.,Peach Bowl,{null}
151,1,158,{null},{null},{null},10,,"boil water and Whiskey in separate glasses, ignite Whiskey, slowly mix Whiskey and water back and forth between the two cups, making sure to not extinguish the flame.",Blue Blazer,{null}
152,1,221,{null},{null},{null},14,,"Combine them how ever you want in whatever you want.  I always pour the orange juice first then the rum but its up to you.  This actually makes a great punch too.  The ratios can be changed depending on how strong you want it, but I find this has a relatively solid balance.  Both guys and girls will really enjoy this.",Captain's Paradise,{null}
153,1,886,{null},{null},{null},15,,"Mix whiskey, bitters, and cherry juice in a ice-filled cocktail glass, and fill the remainder of the glass with sour mix. Garnish with olives or mushrooms and use a stir stick to mix.",Whiskey Sour - Old Fashioned,{null}
154,1,167,{null},{null},{null},21,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Boston Sour,{null}
155,1,186,{null},{null},{null},18,,Add to a cocktail glass in the order listed.,Brandy Scaffa,{null}
156,1,420,{null},{null},{null},10,,"Peel and slice the lemons; place the peel into a large non-reactive saucepan. Add sugar, cinnamon sticks, cloves and 3 cups of water. Set over a medium-high heat and stir frequently to dissolve the sugar. Allow the water to reach the boil, then turn heat down to minimum. Simmer for 10 minutes. Strain the mixture and return to the pan. Add the whiskey and heat but do not boil. Serve in Irish coffee glasses with a slice of peeled lemon in each. Makes 8 (6-ounce) Irish coffee glasses.",Hot Whiskey Punch,{null}
157,1,890,{null},{null},{null},18,,"Combine ingredients in a blender, and mix until smooth and thick. Serve with a straw, and a garnish of shredded coconut.",White Elephant,{null}
158,1,490,{null},{null},{null},18,,"Pour Creme de cassis in glass, gently pour champagne on top",Kir Royale,{null}
159,1,557,{null},{null},{null},18,,Mix one part of Midori (or equivalent melon liqueor) with one part of Orange Juice. Add a slash of Granadine Syrup.,Midori Sunrise,{null}
160,1,748,{null},{null},{null},18,,Mix the orange juice with sugar and the yolk of an egg. Then pour in the vodka with some icecubes and stir. Serve well chilled.,Screwdriver a la Carla,{null}
161,1,354,{null},{null},{null},15,,Combine ingredients in a cocktail shaker with ice. Shake and strain into an old fashioned glass.,Glasgow,{null}
162,1,724,{null},{null},{null},23,,"Pour ingredients into a white wine glass filled with ice cubes and rimmed with salt. Stir. Garnish with a slice of lemon, and serve.",Salt Lick,{null}
163,1,723,{null},{null},{null},2,,"In a collins glass with ice, pour vodka, midori, and raspberry schnapps. Add a splash of lime juice. Fill 2/3 with sour mix and the rest with soda water (or seltzer). Stir gently, and finally top with a splash of grenadine.",Salem Witch,{null}
164,1,303,{null},{null},{null},2,,,FBI,{null}
165,1,137,{null},{null},{null},14,,"Pour stout into a champagne flute. Add champagne carefully, so it does not mix with stout, and serve.",Black Velvet,{null}
166,1,476,{null},{null},{null},14,,"Best served cold, but without ice.",Kalimotxo,{null}
167,1,882,{null},{null},{null},14,,"Pour the whiskey and lemon-lime soda into a highball glass almost filled with ice cubes. Stir well. Garnish with a lemon twist, and serve.",Whiskey Cooler,{null}
168,1,317,{null},{null},{null},12,,Shake ingredients in a cocktail shaker with ice. Strain into shot glass(es).,Foxfire Blitz,{null}
169,1,803,{null},{null},{null},14,,Pour Passoa in a highball glass filled with crushed ice.  Add 7-Up.  Stir gently and garnish with a cherry or lime twist.,Summer Dream,{null}
170,1,224,{null},{null},{null},19,,Place lump of sugar and bitters in a chilled champagne flute. Fill with chilled champagne. Add the twist of lemon peel and serve.,Champagne Cocktail,{null}
171,1,888,{null},{null},{null},18,,Stir and pour over ice in a highball glass. Garnish with orange slice.,White Carnation,{null}
172,1,128,{null},{null},{null},12,,"Pour the jagermeister into a shot glass, then add the soda. Take the shot. Also works well with six soda to one jager as a cocktail.",Black Cherrymeister,{null}
173,1,839,{null},{null},{null},12,,My experience shows that pouring in any order has no bearing on the overall taste of the drink.,The Three Wise Men,{null}
174,1,498,{null},{null},{null},14,,Mix the alcohols and sweet and sour together in a shaker with ice and strain into a glass. Pour in Ginger Ale and serve.,Late Night Soundtrack,{null}
175,1,4,{null},{null},{null},21,,"Pour the whiskeys and tequila into a whiskey sour glass, stir gently, and serve. ",4 Godfathers,{null}
176,1,865,{null},{null},{null},23,,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",Vodka Fizz,{null}
177,1,875,{null},{null},{null},14,,,Vodka Tonic,{null}
178,1,610,{null},{null},{null},15,,"Pour Canadian whisky, amaretto and cream into a cocktail shaker half-filled with ice cubes. Shake well, strain into an old-fashioned glass almost filled with ice cubes, and serve.",Old Groaner's Wife,{null}
179,1,739,{null},{null},{null},15,,,Scotch & Soda,{null}
180,1,253,{null},{null},{null},18,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cornell Cocktail,{null}
181,1,311,{null},{null},{null},2,,"Pour ingredients into a collins glass filled with broken ice. Garnish with a slice of lime, a sprig of mint, and serve.",Formula 1,{null}
182,1,550,{null},{null},{null},13,,"Pour the vodka, Cointreau, apricot brandy, grenadine and lemon juice into a cocktail shaker half-filled with ice cubes. Shake well, and strain into a champagne saucer or small wine glass. Garnish with a maraschino cherry, and serve.",Midnight Sun,{null}
183,1,377,{null},{null},{null},15,,"Mix ingredients in above order over a sugar cube on an absinthe spoon, light the cube and when the flame dies immediately stir in the sugar until it dissolves; serve.",Green Fairy Blood,{null}
184,1,365,{null},{null},{null},14,,Mix all ingredients in highball with ice and shake. Garnish with orange slice and cherry.,Goombay Smash,{null}
185,1,777,{null},{null},{null},15,,Pour vodka in glass followed by the Kahlua. Add the dash of coke (to taste) and stir. Top up the glass with guinness and serve.,Smooth Black Russian,{null}
